start_long,start_lat,end_long,end_lat
-122.259692,37.8737577,-122.259684,37.8737365
-122.259684,37.8737365,-122.2596125,37.8735725
-122.2596125,37.8735725,-122.2592832,37.8736607
-122.2592832,37.8736607,-122.2593627,37.8738458
-122.2593627,37.8738458,-122.259692,37.8737577
